GAME_DETAILS_ID,GAME_ID,TEAM_ID,PLAYER_ID,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
78,21900898,1610612761,1626181,G,,40:06,9,17,529,1,6,167,5,6,833,1,5,6,0,0,1,0,2,24,-13
79,21900898,1610612761,200768,G,,37:57,4,14,286,2,10,0,7,7,1,0,5,5,8,0,0,4,3,17,-9
80,21900898,1610612761,1629056,,,17:14,3,5,1,1,3,333,1,2,1,0,3,3,3,0,0,1,2,8,-6
81,21900898,1610612761,1627775,,,24:13,3,4,1,1,2,1,0,0,0,0,2,2,1,0,0,1,2,7,-13
82,21900898,1610612761,1629744,,,5:48,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,-2
83,21900898,1610612761,1628449,,,8:42,1,3,333,1,2,1,2,2,1,1,1,2,0,0,0,1,4,5,-6
84,21900898,1610612761,1626259,,,1:01,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,21900898,1610612761,1626169,,,1:01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,21900898,1610612761,1629608,,DND - Injury/Illness                    ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,21900898,1610612761,1627832,,DNP - Injury/Illness                    ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,21900898,1610612743,203115,F,,26:50,3,9,333,1,4,0,4,5,1,0,2,2,4,0,0,3,2,11,7
89,21900898,1610612743,203924,F,,34:42,5,10,1,2,4,1,4,4,1,0,3,3,6,0,0,4,4,16,18
90,21900898,1610612743,203999,C,,35:04,8,11,727,0,0,0,7,9,778,4,14,18,11,1,0,2,2,23,18
91,21900898,1610612743,203914,G,,29:16,6,7,857,3,3,1,0,0,0,0,4,4,3,0,0,3,4,15,14
92,21900898,1610612743,1627750,G,,36:31,8,15,533,6,10,1,0,1,0,0,1,1,5,0,0,2,3,22,15
93,21900898,1610612743,1628420,,,29:13,4,9,444,2,5,0,2,2,1,0,3,3,4,1,0,2,1,12,8
94,21900898,1610612743,1629008,,,19:10,4,8,1,1,3,333,2,4,1,3,3,6,3,1,0,0,0,11,-1
95,21900898,1610612743,203486,,,10:08,2,2,1,0,0,0,2,5,0,0,1,1,2,2,1,0,4,6,1
96,21900898,1610612743,1628470,,,16:04,7,11,636,3,6,1,0,0,0,0,3,3,0,1,0,0,2,17,-3
97,21900898,1610612743,1628427,,,2:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
98,21900898,1610612743,1628408,,,1:01,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,21900899,1610612765,203503,F,,38:21,3,9,333,3,6,1,3,3,1,0,4,4,6,1,1,0,2,12,8
100,21900899,1610612765,1626174,F,,35:16,7,16,438,1,4,0,5,7,714,2,10,12,0,0,1,0,1,20,3
101,21900899,1610612765,203089,C,,22:17,5,8,625,0,1,0,0,4,0,2,3,5,3,2,1,2,1,10,6
102,21900899,1610612765,1629004,G,,38:51,4,11,364,4,9,444,2,2,1,1,5,6,2,0,0,4,5,14,-2
103,21900899,1610612765,201565,G,,9:23,3,5,1,1,1,1,2,2,1,0,3,3,2,0,0,1,1,9,11
104,21900899,1610612765,202688,,,25:17,5,12,417,5,10,1,1,2,1,0,3,3,7,0,0,4,3,16,-12
105,21900899,1610612765,204038,,,24:21,4,12,333,3,8,375,0,0,0,1,1,2,1,0,0,0,4,11,-8
106,21900899,1610612765,1629635,,,15:39,1,3,333,0,1,0,3,4,1,0,3,3,0,0,0,2,4,5,-17
107,21900899,1610612765,1629743,,,13:29,0,2,0,0,0,0,0,0,0,1,3,4,0,0,1,0,1,0,-8
108,21900899,1610612765,1629017,,,3:47,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-6
109,21900899,1610612765,1628476,,,13:20,1,1,1,1,1,1,0,0,0,0,0,0,2,2,0,1,2,3,-5
110,21900899,1610612765,1628971,,DNP - Injury/Illness                    ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21900899,1610612765,1627748,,DNP - Injury/Illness                    ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,21900899,1610612758,203084,F,,35:54,3,9,333,1,3,333,3,4,1,1,7,8,4,1,0,1,1,10,0
113,21900899,1610612758,202357,F,,23:41,3,10,0,1,6,167,0,0,0,4,3,7,2,1,0,1,2,7,-1
114,21900899,1610612758,1628385,C,,20:21,5,9,556,0,0,0,2,2,1,2,5,7,0,1,1,0,4,12,-5
115,21900899,1610612758,203992,G,,27:55,5,12,417,3,8,375,2,3,667,0,0,0,0,4,0,1,3,15,-1
116,21900899,1610612758,1628368,G,,32:17,7,16,438,0,4,0,9,10,1,2,1,3,7,0,1,2,3,23,7
117,21900899,1610612758,202709,,,15:43,2,4,1,1,1,1,0,0,0,2,1,3,1,1,0,0,0,5,-1
118,21900899,1610612758,1627741,,,25:07,7,17,412,3,11,273,2,2,1,0,6,6,2,0,0,3,0,19,16
119,21900899,1610612758,203458,,,27:33,4,8,1,0,0,0,0,0,0,6,7,13,0,0,5,0,3,8,9
120,21900899,1610612758,203145,,,31:30,1,6,167,0,2,0,5,5,1,0,4,4,2,0,0,2,4,7,6
121,21900899,1610612758,1627812,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,21900899,1610612758,1629657,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,21900899,1610612758,1629713,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,21900899,1610612758,203953,,DNP - Coach's Decision                  ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,21900900,1610612747,2544,F,,36:23,14,21,667,3,5,1,3,3,1,0,12,12,13,2,0,6,2,34,22
126,21900900,1610612747,1628398,F,,35:02,8,18,444,2,8,0,2,3,667,1,3,4,1,1,0,0,4,20,11
127,21900900,1610612747,201580,C,,24:21,4,6,667,0,0,0,0,0,0,2,2,4,0,0,6,1,3,8,6
