GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2020-02-12,21900809,Final,1610612751,1610612761,2019,101,409,0.8,257,27,55,1610612761,91,378,769,302,21,42,1
2020-02-12,21900810,Final,1610612754,1610612749,2019,118,523,792,333,28,44,1610612749,111,407,0.96,351,18,44,1
2020-02-12,21900811,Final,1610612752,1610612764,2019,96,409,724,0.13,19,52,1610612764,114,476,727,357,25,40,0
2020-02-12,21900812,Final,1610612763,1610612757,2019,111,474,682,261,26,57,1610612757,104,371,792,351,21,51,1
2020-02-12,21900813,Final,1610612750,1610612766,2019,108,386,0.8,286,25,48,1610612766,115,467,652,412,22,52,0
2020-02-12,21900814,Final,1610612742,1610612758,2019,130,565,0.81,425,34,47,1610612758,111,414,773,308,26,40,1
2020-02-12,21900815,Final,1610612756,1610612744,2019,112,462,933,378,25,40,1610612744,106,506,895,355,27,38,1
2020-02-12,21900816,Final,1610612762,1610612748,2019,116,482,0.87,389,23,53,1610612748,101,432,0.75,333,19,37,1
2020-02-12,21900817,Final,1610612743,1610612747,2019,116,0.5,773,0.44,32,42,1610612747,120,505,519,364,29,49,0
2020-02-11,21900802,Final,1610612755,1610612746,2019,110,463,667,296,25,50,1610612746,103,444,692,452,25,42,1
2020-02-11,21900803,Final,1610612764,1610612741,2019,126,539,792,344,28,44,1610612741,114,478,714,0.41,25,44,1
2020-02-11,21900804,Final,1610612740,1610612757,2019,138,533,813,412,40,50,1610612757,117,473,786,241,21,40,1
2020-02-11,21900805,Final,1610612760,1610612759,2019,106,459,0.81,355,19,35,1610612759,114,488,926,0.28,20,46,0
2020-02-11,21900806,Final,1610612745,1610612738,2019,116,429,881,289,17,45,1610612738,105,435,0.8,344,24,48,1
2020-02-10,21900793,Final,1610612765,1610612766,2019,76,354,846,0.2,21,52,1610612766,87,375,857,0.25,19,45,0
2020-02-10,21900794,Final,1610612754,1610612751,2019,105,489,727,233,28,40,1610612751,106,402,0.75,324,20,53,0
2020-02-10,21900795,Final,1610612753,1610612737,2019,135,526,773,474,33,45,1610612737,126,534,941,432,33,31,1
2020-02-10,21900796,Final,1610612761,1610612750,2019,137,573,783,515,29,41,1610612750,126,453,857,0.45,24,38,1
2020-02-10,21900797,Final,1610612749,1610612758,2019,123,448,826,429,26,55,1610612758,111,416,722,326,23,49,1
2020-02-10,21900798,Final,1610612742,1610612762,2019,119,0.47,839,349,24,26,1610612762,123,0.59,762,429,27,45,0
2020-02-10,21900799,Final,1610612743,1610612759,2019,127,563,826,514,34,37,1610612759,120,482,0.88,0.5,33,36,1
2020-02-10,21900800,Final,1610612744,1610612748,2019,101,0.39,882,324,23,40,1610612748,113,494,714,364,36,45,0
2020-02-10,21900801,Final,1610612747,1610612756,2019,125,516,0.68,378,28,59,1610612756,100,421,806,355,26,29,1
2020-02-09,21900786,Final,1610612760,1610612738,2019,111,453,759,407,14,44,1610612738,112,452,741,444,19,53,0
2020-02-09,21900787,Final,1610612737,1610612752,2019,140,454,903,0.35,29,50,1610612752,135,473,0.72,382,30,56,1
2020-02-09,21900788,Final,1610612755,1610612741,2019,118,0.5,719,407,29,44,1610612741,111,489,765,375,23,42,1
2020-02-09,21900789,Final,1610612764,1610612763,2019,99,0.35,759,212,25,50,1610612763,106,422,0.6,156,19,62,0
2020-02-09,21900790,Final,1610612745,1610612762,2019,113,463,714,357,20,36,1610612762,114,488,833,395,25,48,0
2020-02-09,21900791,Final,1610612739,1610612746,2019,92,368,682,212,22,45,1610612746,133,0.57,0.75,333,28,52,0
2020-02-09,21900792,Final,1610612757,1610612748,2019,115,471,727,452,20,43,1610612748,109,398,786,408,31,49,1
2020-02-08,21900777,Final,1610612753,1610612749,2019,95,378,786,0.25,28,46,1610612749,111,452,0.75,385,26,62,0
2020-02-08,21900778,Final,1610612766,1610612742,2019,100,437,722,306,15,39,1610612742,116,506,1.0,486,29,46,0
2020-02-08,21900779,Final,1610612765,1610612752,2019,92,493,688,448,21,28,1610612752,95,447,647,364,24,47,0
2020-02-08,21900780,Final,1610612754,1610612740,2019,117,0.53,741,346,25,37,1610612740,124,463,0.84,395,27,53,0
2020-02-08,21900781,Final,1610612761,1610612751,2019,119,474,714,0.4,22,48,1610612751,118,446,833,364,27,46,1
2020-02-08,21900782,Final,1610612750,1610612746,2019,142,547,667,591,39,46,1610612746,115,477,828,346,24,43,1
2020-02-08,21900783,Final,1610612744,1610612747,2019,120,517,652,406,31,33,1610612747,125,524,735,483,29,47,0
2020-02-08,21900784,Final,1610612756,1610612743,2019,108,437,1.0,281,25,41,1610612743,117,549,762,393,23,40,0
2020-02-08,21900785,Final,1610612758,1610612759,2019,122,523,0.65,543,25,39,1610612759,102,506,722,292,23,41,1
2020-02-07,21900769,Final,1610612755,1610612763,2019,119,533,0.6,0.56,34,50,1610612763,107,409,839,238,25,40,1
2020-02-07,21900770,Final,1610612764,1610612742,2019,119,0.5,769,0.5,28,39,1610612742,118,462,857,0.4,27,49,1
2020-02-07,21900771,Final,1610612738,1610612737,2019,112,0.43,815,432,23,47,1610612737,107,407,923,333,21,46,1
2020-02-07,21900772,Final,1610612754,1610612761,2019,106,453,818,294,26,47,1610612761,115,477,824,447,28,39,0
2020-02-07,21900773,Final,1610612760,1610612765,2019,108,513,833,217,21,42,1610612765,101,427,737,289,19,37,1
2020-02-07,21900774,Final,1610612756,1610612745,2019,127,558,963,484,29,51,1610612745,91,341,846,229,16,29,1
2020-02-07,21900775,Final,1610612758,1610612748,2019,105,488,0.5,432,29,36,1610612748,97,442,0.68,0.3,21,42,1
2020-02-07,21900776,Final,1610612762,1610612757,2019,117,495,708,333,21,56,1610612757,114,454,643,425,14,43,1
2020-02-06,21900764,Final,1610612752,1610612753,2019,105,467,684,0.3,27,39,1610612753,103,453,867,0.29,22,39,1
2020-02-06,21900765,Final,1610612741,1610612740,2019,119,495,609,448,25,40,1610612740,125,563,579,421,38,45,0
2020-02-06,21900766,Final,1610612749,1610612755,2019,112,468,667,324,19,60,1610612755,101,374,571,422,24,50,1
2020-02-06,21900767,Final,1610612757,1610612759,2019,125,533,0.75,486,28,50,1610612759,117,446,893,357,25,39,1
2020-02-06,21900768,Final,1610612747,1610612745,2019,111,495,0.75,0.29,33,38,1610612745,121,506,889,452,20,37,0
2020-02-05,21900755,Final,1610612765,1610612756,2019,116,484,0.75,429,31,42,1610612756,108,545,0.8,462,29,37,1
