"Equipe","Pontos"
"Raptors","99"
"Spurs","99"
"Pistons","99"
"Hornets","99"
"Suns","99"
"Hornets","99"
"Spurs","99"
"Kings","99"
"Suns","99"
"Clippers","99"
"Trail Blazers","99"
"Suns","99"
"Grizzlies","99"
"Trail Blazers","99"
"Trail Blazers","99"
"Cavaliers","99"
"Thunder","99"
"Pistons","98"
"Warriors","98"
"Cavaliers","98"
"Spurs","98"
"Nets","98"
"Nuggets","98"
"76ers","98"
"Pistons","98"
"Hornets","98"
"Thunder","98"
"Warriors","98"
"Spurs","98"
"Rockets","98"
"Suns","98"
"Celtics","98"
"Heat","98"
"Bucks","98"
"Hornets","98"
"Kings","98"
"Raptors","98"
"Warriors","98"
"Bulls","98"
"76ers","98"
"Pistons","98"
"Magic","98"
"Nuggets","98"
"Grizzlies","98"
"Rockets","98"
"Pacers","98"
"Clippers","98"
"Celtics","98"
"Raptors","98"
"Trail Blazers","98"
"Heat","98"
"Nets","97"
"Suns","97"
"Thunder","97"
"Hawks","97"
"Spurs","97"
"76ers","97"
"Bucks","97"
"Cavaliers","97"
"Cavaliers","97"
"Celtics","97"
"Heat","97"
"Trail Blazers","97"
"Clippers","97"
"Cavaliers","97"
"Thunder","97"
"76ers","97"
"Lakers","97"
"Raptors","97"
"Hawks","97"
"Grizzlies","97"
"Trail Blazers","97"
"Hornets","97"
"Grizzlies","97"
"Jazz","96"
"Wizards","96"
"Suns","96"
"Clippers","96"
"Nuggets","96"
"Bulls","96"
"Nuggets","96"
"Knicks","96"
"Hornets","96"
"Pelicans","96"
"Mavericks","96"
"Lakers","96"
"Heat","96"
"Heat","96"
"Rockets","96"
"Clippers","96"
"Nets","96"
"Nuggets","95"
"76ers","95"
"Hornets","95"
"Magic","95"
"Heat","95"
"Nets","95"
"76ers","95"
"Mavericks","95"
"Jazz","95"
"Clippers","95"
"Pacers","95"
"Magic","95"
"Heat","95"
"76ers","95"
"Grizzlies","95"
"Mavericks","95"
"Thunder","95"
"76ers","95"
"Pacers","95"
"76ers","95"
"Bulls","95"
"Magic","95"
"Knicks","95"
"Suns","95"
"Knicks","94"
"Celtics","94"
"Magic","94"
"76ers","94"
"Pacers","94"
"Trail Blazers","94"
"Bucks","94"
"Pelicans","94"
"Nets","94"
"Nets","94"
"Hornets","94"
"Pelicans","94"
"Wizards","94"
"Spurs","94"
"Pistons","94"
"Cavaliers","94"
"Magic","94"
"Grizzlies","94"
"Jazz","94"
"Pacers","94"
"Cavaliers","94"
"Nets","94"
"Suns","94"
"Grizzlies","93"
"Heat","93"
"Spurs","93"
"Pistons","93"
"Hornets","93"
"Magic","93"
"Trail Blazers","93"
"Pacers","93"
"Heat","93"
"Magic","93"
"Knicks","93"
"Raptors","93"
"Timberwolves","93"
"Hawks","93"
"Thunder","93"
"Mavericks","93"
"Bucks","93"
"Spurs","92"
"Raptors","92"
"Hornets","92"
"Timberwolves","92"
"Grizzlies","92"
"Knicks","92"
"Pistons","92"
"Hornets","92"
"Spurs","92"
"Knicks","92"
"Magic","92"
"Thunder","92"
"Cavaliers","92"
"Nuggets","92"
"Timberwolves","92"
"Knicks","92"
"Nuggets","92"
"Pacers","92"
"Trail Blazers","92"
"Rockets","92"
"Celtics","92"
"Nuggets","92"
"Pacers","91"
"Trail Blazers","91"
"Grizzlies","91"
"Lakers","91"
"Trail Blazers","91"
"Knicks","91"
"Rockets","91"
"Bucks","91"
"Warriors","91"
"Clippers","91"
"Spurs","91"
"Raptors","91"
"76ers","91"
"76ers","91"
"Heat","90"
"76ers","90"
"Wizards","90"
"Heat","90"
"Hornets","90"
"Warriors","90"
"76ers","90"
"Trail Blazers","90"
"Wizards","90"
"Pacers","90"
"Bucks","90"
"Grizzlies","90"
"Kings","89"
"Bulls","89"
"76ers","89"
"Thunder","89"
"Pacers","89"
"Wizards","89"
"Thunder","89"
"Nets","89"
"Magic","89"
"Celtics","89"
"Hornets","89"
"Kings","89"
"Knicks","89"
"Bulls","89"
"Bulls","89"
"Knicks","88"
"Heat","88"
"Hornets","88"
"Warriors","88"
"Magic","88"
"Grizzlies","88"
"Lakers","88"
"Cavaliers","88"
"Nets","88"
"Magic","88"
"Pacers","88"
"Heat","88"
"Hornets","87"
"Pacers","87"
"Kings","87"
"Knicks","87"
"Suns","87"
"Raptors","87"
"Kings","87"
"Heat","87"
"Rockets","87"
"Pistons","87"
"Heat","87"
"Knicks","87"
"Pacers","86"
"Grizzlies","86"
"Jazz","86"
"Grizzlies","86"
"Nets","86"
"Jazz","86"
"Pacers","86"
"Hawks","86"
"Hawks","86"
"Grizzlies","86"
"Hornets","86"
"Bulls","86"
"Thunder","86"
"Heat","85"
"Grizzlies","85"
"Mavericks","85"
"Pacers","85"
"Nets","85"
"Hornets","85"
"Lakers","85"
"Hawks","85"
"Heat","85"
"Pacers","85"
"Trail Blazers","85"
"Mavericks","85"
"Nets","84"
"Warriors","84"
"Pelicans","84"
"Celtics","83"
"Raptors","83"
"Heat","83"
"Hawks","83"
"Hornets","83"
"Raptors","83"
"Pistons","82"
"Trail Blazers","82"
"Nets","82"
"Wizards","82"
"Nets","81"
"Kings","81"
"76ers","81"
"Hawks","81"
"Pacers","81"
"Pistons","81"
"Cavaliers","80"
"Celtics","80"
"Hawks","80"
"Hornets","80"
"Magic","80"
"Pelicans","80"
"Bulls","79"
"Pacers","78"
"Bucks","77"
"Pacers","77"
"Thunder","77"
"Raptors","76"
"Pacers","76"
"Wizards","75"
"Pacers","71"
"Kings","69"
